
Ereignisdatum;Titel;Untertitel;Zusammenfassung;Detailtext
22.07.2024 10:29;Bestätigungslink versendet;Konto;Wir haben Ihnen eine E-Mail mit einem Link zur Bestätigung Ihrer E-Mail-Adresse gesendet.;Die E-Mail haben wir an folgende E-Mail-Adresse gesendet: mail@heikowolf.info . Sie haben eingewilligt, dass wir die E-Mail-Adresse für die Registrierung und den Mitteilungsservice-Online erheben und verarbeiten dürfen. Die Einwilligung können Sie jederzeit ohne Angabe von Gründen mit Wirkung für die Zukunft widerrufen. Erst mit der Bestätigung der E-Mail-Adresse übernehmen wir diese in Ihr Konto.
22.07.2024 10:28;Nutzungsbedingungen akzeptiert;Konto;Sie haben die Nutzungsbedingungen akzeptiert.;
19.07.2024 20:01;Bekanntgabe, Bereitstellung und Benachrichtigungsoptionen zurückgesetzt;Konto;Wir haben die Online-Kommunikation zurückgesetzt.;"Bei der Kontoumstellung haben wir aus rechtlichen Gründen die Online-Kommunikation in allen Konten zurückgesetzt. Aktive Online-Bekanntgaben von Bescheiden oder Online-Bereitstellungen von Anträgen haben wir deaktiviert. Sie erhalten daher bis auf Weiteres keine Postfachnachrichten mehr in das Leistungspostfach. Dokumente wie Bescheide, Nachweise und Anträge werden Ihnen immer per Post zugestellt. Ihre individuellen Benachrichtigungsoptionen haben wir auf Standardwerte gesetzt. Um den vollen Leistungsumfang Ihres Kontos (wieder) nutzen zu können, aktivieren Sie bitte die Online-Kommunikation in Ihrem Profil: https://www.arbeitsagentur.de/link/online-kommunikation (Link: ""https://www.arbeitsagentur.de/link/online-kommunikation""). Anschließend können Sie in dem Konto Schriftstücke (Bescheide, Schreiben, Nachweise) und Anträge empfangen oder Nachrichten zu Ihren Leistungsangelegenheit in einem sicheren Kanal mit unseren Mitarbeitenden austauschen. Hinweis: Für Unternehmen muss die Online-Kommunikation nur einmal durch den Unternehmensadministrator für alle Mitarbeiter aktiviert werden. Für Partner (Jugendämter, Bezügestellen) steht die Funktion grundsätzlich nicht zur Verfügung."
19.07.2024 20:00;Konto umgestellt;Konto;Wir haben Ihr Konto erfolgreich umgestellt.;Wir haben Ihr Konto erfolgreich auf eine neue Plattform umgestellt. Ihnen stehen ab sofort zusätzliche Optionen (wie die Anmeldung über die BundID oder Familienkassenservices mit Anmeldung) zur Verfügung.
13.06.2024 23:17;Dokument abgerufen;Bescheide & Nachweise;Das Dokument Mitteilung vor Ende des Leistungsbezuges wurde abgerufen.;
12.06.2024 23:01;Dokument bereitgestellt;Bescheide & Nachweise;Das Dokument Mitteilung vor Ende des Leistungsbezuges wurde in der Bescheidablage bereitgestellt.;
13.03.2024 19:54;Dokument abgerufen;Bescheide & Nachweise;Das Dokument Zwischenbescheinigung für das Finanzamt wurde abgerufen.;
26.02.2024 23:35;Dokument bereitgestellt;Bescheide & Nachweise;Das Dokument Zwischenbescheinigung für das Finanzamt wurde in der Bescheidablage bereitgestellt.;
26.02.2024 13:44;Dokument abgerufen;Bescheide & Nachweise;Das Dokument DELFI_075A781799_Leistungsnachweis_51596828_2023_1708707634828_true.pdf wurde abgerufen.;
23.02.2024 18:00;Dokument bereitgestellt;Bescheide & Nachweise;Das Dokument DELFI_075A781799_Leistungsnachweis_51596828_2023_1708707634828_true.pdf wurde in der Bescheidablage bereitgestellt.;
10.10.2023 13:29;Dokument abgerufen;Bescheide & Nachweise;Das Dokument EingangsbestätigungZwischennachricht wurde abgerufen.;
09.10.2023 09:28;Dokument bereitgestellt;Bescheide & Nachweise;Das Dokument EingangsbestätigungZwischennachricht wurde in der Bescheidablage bereitgestellt.;
12.09.2023 10:29;Bescheid abgerufen;Bescheide & Nachweise;Das Dokument Änderungsbescheid wurde abgerufen.;
12.09.2023 00:20;Bescheid bereitgestellt;Bescheide & Nachweise;Das Dokument Änderungsbescheid wurde in der Bescheidablage bereitgestellt.;
07.09.2023 11:37;Dokument abgerufen;Bescheide & Nachweise;Das Dokument Brief wurde abgerufen.;
06.09.2023 08:47;Dokument bereitgestellt;Bescheide & Nachweise;Das Dokument Brief wurde in der Bescheidablage bereitgestellt.;
09.08.2023 10:18;Bescheid abgerufen;Bescheide & Nachweise;Das Dokument Änderungsbescheid wurde abgerufen.;
08.08.2023 22:44;Bescheid bereitgestellt;Bescheide & Nachweise;Das Dokument Änderungsbescheid wurde in der Bescheidablage bereitgestellt.;
02.08.2023 12:20;Zustellung für Bescheide geändert;Einstellung;Sie haben die Bereitstellungsart für Bescheide und Nachweise geändert.;"Sie erhalten Ihre Bescheide und Nachweise ab sofort online. "
17.07.2023 09:21;Veröffentlichungsstatus geändert;Beratung und Vermittlung;Der Veröffentlichungsstatus des Stellengesuchs 10000-1148688501-B vom Typ Arbeit, IT-Systemadministrator/in wurde von intern veröffentlicht auf anonym veröffentlicht geändert.;"Änderung Veröffentlichungsstatus: Alter Veröffentlichungsstatus: intern veröffentlicht Neuer Veröffentlichungsstatus: anonym veröffentlicht Veröffentlichung von: 17.07.2023 Veröffentlichung bis: Letzte externe Veröffentlichungen: "
17.07.2023 09:21;Anonymisierungseinstellungen;Vermittlung;Sie haben Ihre Einstellungen zur Veröffentlichung von Alter und Geschlecht geändert.;Änderung Veröffentlichungsstatus von Alter/ Geschlecht Vorheriger Veröffentlichungsstatus für das Alter: noch nicht entschieden Neuer Veröffentlichungsstatus für das Alter: Nein Vorheriger Veröffentlichungsstatus für das Geschlecht: noch nicht entschieden Neuer Veröffentlichungsstatus für das Geschlecht: Nein
17.07.2023 09:19;Zustimmung zur Datenübermittlung;Vermittlung;Ihre Einwilligung zur Datenübermittlung an private Arbeitsvermittler wurde geändert.;Datenübermittlung an private Arbeitsvermittler liegt nicht vor
12.07.2023 10:46;Antrag online gesendet;Arbeitslosengeld;Sie haben Ihren Antrag auf Arbeitslosengeld für die Zeit ab dem 09.07.2023 online an die Agentur für Arbeit gesendet.;
10.07.2023 16:01;Arbeitslosengeld beantragt;Arbeitslosengeld;Sie haben am 10.07.2023 zum 09.07.2023 einen Antrag auf Arbeitslosengeld gestellt.;
10.07.2023 15:58;Passwort geändert;Authentifizierung;Sie haben Ihr Passwort geändert.;
10.07.2023 10:40;Einmalpasswort persönlich übergeben;Accountverwaltung;Ein Mitarbeiter der Bundesagentur für Arbeit hat Ihnen ein Einmalpasswort für Ihr Benutzerkonto persönlich übergeben.;
10.07.2023 10:40;Benutzername persönlich übergeben;Accountverwaltung;Ein Mitarbeiter der Bundesagentur für Arbeit hat Ihnen den Benutzernamen für Ihr Benutzerkonto persönlich übergeben.;"Der übergebene Benutzername lautet: hwolf304                            "
10.07.2023 10:35;Arbeitsuchendmeldung erfasst;Vermittlung;Wir haben Ihre Arbeitsuchendmeldung zum 18.06.2023 erfasst oder geändert.;Arbeitsuchendmeldung nach § 38 SGB III zum 17.12.2019 auf 18.06.2023 geändert
10.07.2023 10:34;Arbeitslosigkeit gemeldet;Vermittlung;Wir haben eine Arbeitslosmeldung oder eine Änderung dieser erfasst.;Arbeitslosmeldung zum 09.07.2023 am 10.07.2023 erfasst.
10.07.2023 10:32;Ausweissichtprüfung gesetzt;Accountverwaltung;Ihr Ausweis wurde erfolgreich durch einen Mitarbeiter der Bundesagentur für Arbeit geprüft.;
08.07.2023 15:49;Nutzungsbedingungen akzeptiert;Authentifizierung;Sie haben die Nutzungsbedingungen akzeptiert.;
08.07.2023 15:48;Passwort geändert;Accountverwaltung;Sie haben Ihr Passwort geändert.;
08.07.2023 15:04;Neues Passwort per E-Mail versendet;Accountverwaltung;Eine E-Mail zum Zurücksetzen Ihres Passwortes wurde versendet.;"Die E-Mail wurde an folgende E-Mail-Adresse gesendet: heiko.wolf.mail@gmail.com                         "
21.06.2023 10:53;Veröffentlichungsstatus geändert;Beratung und Vermittlung;Der Veröffentlichungsstatus des Stellengesuchs 10000-1148688501-B vom Typ Arbeit, IT-Systemadministrator/in wurde von nicht veröffentlicht auf intern veröffentlicht geändert.;"Änderung Veröffentlichungsstatus: Alter Veröffentlichungsstatus: nicht veröffentlicht Neuer Veröffentlichungsstatus: intern veröffentlicht Veröffentlichung von: 21.06.2023 Veröffentlichung bis: Letzte externe Veröffentlichungen: "
21.06.2023 10:53;Erneute Anmeldung vollzogen;Vermittlung;Wir haben Sie erneut zur Vermittlung oder Beratung angemeldet.;Reaktivierung in AV zum 18.06.2023
24.10.2021 11:35;Kontakt geändert;Stammdatenänderung online;Sie haben online Ihre Kontaktdaten aktualisiert.;"Sie haben folgende Änderung an Ihren Kontaktinformationen vorgenommen: Kontakte hinzugefügt: -keine- Kontakte geändert: E-Mail heiko.wolf.mail@gmail.com mit Status Privat (nicht veröffentlicht) Kontakte gelöscht: -keine- "
05.10.2020 15:22;Neues Kennwort angefordert;Accountverwaltung;Ein neues Passwort wurde angefordert.;
08.01.2020 12:25;Arbeitsuchendmeldung erfasst;Vermittlung;Wir haben ihre Arbeitsuchendmeldung zumzeige nach  erfasst oder geändert.;Anzeige nach § 38 SGB III am 17.12.2019 am 08.01.2020 erfasst
06.01.2020 08:09;Veröffentlichungsstatus geändert;Beratung und Vermittlung;Der Veröffentlichungstatus des Stellengesuchs 10000-1148688501-B vom Typ Arbeit, IT-Systemadministrator/in wurde von intern veröffentlicht auf nicht veröffentlicht geändert.;"Änderung Veröffentlichungsstatus: Alter Veröffentlichungsstatus: intern veröffentlicht Neuer Veröffentlichungsstatus: nicht veröffentlicht Veröffentlichung von: 02.10.2019 Veröffentlichung bis: Letzte externe Veröffentlichungen: "
06.01.2020 08:09;Abmeldung vollzogen;Vermittlung;Wir haben Sie aus der Vermittlung oder Beratung abgemeldet.;Abmeldung aus AV erfolgt
31.12.2019 13:23;Kennwort geändert;Accountverwaltung;Sie haben Ihr Passwort geändert.;
17.12.2019 10:48;Arbeitsaufnahme mitgeteilt;Veränderungsmitteilung;Sie haben uns Informationen zur Arbeitsaufnahme gesendet.;"Sie haben folgende Informationen zur Arbeitsaufnahme gesendet: Ich nehme ab dem 01.01.2020 bis zum 31.12.2020 eine neue Tätigkeit bei Universität Leipzig in Leipzig als Systemadministrator auf. Diese Tätigkeit umfasst 15 Wochenstunden oder mehr. Diese Tätigkeit ist ein öffentlich-rechtliches Dienstverhältnis. "
02.10.2019 14:37;Veröffentlichungsstatus geändert;Beratung und Vermittlung;Der Veröffentlichungstatus des Stellengesuchs 10000-1148688501-B vom Typ Arbeit, IT-Systemadministrator/in wurde von nicht veröffentlicht auf intern veröffentlicht geändert.;"Änderung Veröffentlichungsstatus: Alter Veröffentlichungsstatus: nicht veröffentlicht Neuer Veröffentlichungsstatus: intern veröffentlicht Veröffentlichung von: 02.10.2019 Veröffentlichung bis: Letzte externe Veröffentlichungen: "
02.10.2019 14:33;Erneute Anmeldung vollzogen;Vermittlung;Wir haben Sie erneut zur Vermittlung oder Beratung angemeldet.;Reaktivierung in AV zum 30.09.2019
30.09.2019 13:18;Online Arbeitssuchend gemeldet;Arbeitsuchendmeldung;Sie haben sich arbeitssuchend gemeldet.;"Sie haben sich am 30.09.2019 um 13:18 mit folgenden Daten online arbeitsuchend gemeldet: Anrede: Herr, Vorname: Heiko, Name: Wolf, Straße und Hausnummer: Nernststr. 8, PLZ und Ort: 04159 Leipzig, Land: Deutschland, Zuletzt ausgeübte Tätigkeit: Systemadministrator, Letzter Tag der Beschäftigung: 31.12.2019, Krankmeldung: Nein, Schwerbehinderung / Gleichstellung: Nein, Telefonnummer: +49 176 70286634, Erreichbarkeit: 15:30 - 18:00 Uhr, "
30.09.2019 13:15;Nutzungsbedingungen akzeptiert;Accountverwaltung;Sie haben die Nutzungsbedingungen akzeptiert.;
30.09.2019 13:14;Nutzungsbedingungen akzeptiert;Accountverwaltung;Sie haben die Nutzungsbedingungen akzeptiert.;
30.09.2019 13:13;Nutzungsbedingungen akzeptiert;Accountverwaltung;Sie haben die Nutzungsbedingungen akzeptiert.;
30.09.2019 13:13;Neues Kennwort angefordert;Accountverwaltung;Ein neues Passwort wurde angefordert.;
